NodeName,NodePurpose,Node Instance,xName,Rack Number,uPos,Cluster Admin IPv6,Cluster Admin Network,"iDrac Network (iDrac)",iDrac Network (Local),InfiniBand (Public),InfiniBand ib0 (Private),InfiniBand ib0 #2(Private),InfiniBand ib1 (Public),InfiniBand ib1 (Private),InfiniBand ib1 #2(Private),Switch Management Network,Cluster Admin Network #2,Cluster Admin Network #3,Cluster Admin Network #4,Switch Management Network #2,PowerScale Admin Network #1,PowerScale Admin Network #2,PowerScale Admin Network #3,PowerScale Admin Network #4,PowerScale Storage Network #1,PowerScale Storage Network #2,PowerScale Storage Network #3,PowerScale Storage Network #4,Side Door Network,Monitoring Network,Border Leaf Network,Infrastructure Network,iSCSI Network,Notes,
nid7011,compute, ,x7000c0s15b0n0,x7000,15,,10.40.0.26,10.41.0.26,,128.55.134.101,10.45.0.26,,128.55.134.227,10.45.0.126,,,,,,,,,,,,,,,,,,,,,
nid7012,compute, ,x7000c0s16b0n0,x7000,16,,10.40.0.27,10.41.0.27,,128.55.134.102,10.45.0.27,,128.55.134.228,10.45.0.127,,,,,,,,,,,,,,,,,,,,,
nid7013,compute, ,x7000c0s17b0n0,x7000,17,,10.40.0.28,10.41.0.28,,128.55.134.103,10.45.0.28,,128.55.134.229,10.45.0.128,,,,,,,,,,,,,,,,,,,,,
nid7014,compute, ,x7000c0s18b0n0,x7000,18,,10.40.0.29,10.41.0.29,,128.55.134.104,10.45.0.29,,128.55.134.230,10.45.0.129,,,,,,,,,,,,,,,,,,,,,
nid7015,compute, ,x7000c0s19b0n0,x7000,19,,10.40.0.30,10.41.0.30,,128.55.134.105,10.45.0.30,,128.55.134.231,10.45.0.130,,,,,,,,,,,,,,,,,,,,,
nid7016,compute, ,x7000c0s20b0n0,x7000,20,,10.40.0.31,10.41.0.31,,128.55.134.106,10.45.0.31,,128.55.134.232,10.45.0.131,,,,,,,,,,,,,,,,,,,,,
nid7017,compute, ,x7000c0s21b0n0,x7000,21,,10.40.0.32,10.41.0.32,,128.55.134.107,10.45.0.32,,128.55.134.233,10.45.0.132,,,,,,,,,,,,,,,,,,,,,
nid7018,compute, ,x7000c0s27b0n0,x7000,27,,10.40.0.33,10.41.0.33,,128.55.134.108,10.45.0.33,,128.55.134.234,10.45.0.133,,,,,,,,,,,,,,,,,,,,,
nid7019,compute, ,x7000c0s28b0n0,x7000,28,,10.40.0.34,10.41.0.34,,128.55.134.109,10.45.0.34,,128.55.134.235,10.45.0.134,,,,,,,,,,,,,,,,,,,,,
nid7020,compute, ,x7000c0s29b0n0,x7000,29,,10.40.0.35,10.41.0.35,,128.55.134.110,10.45.0.35,,128.55.134.236,10.45.0.135,,,,,,,,,,,,,,,,,,,,,
nid7021,compute, ,x7000c0s30b0n0,x7000,30,,10.40.0.36,10.41.0.36,,128.55.134.111,10.45.0.36,,128.55.134.237,10.45.0.136,,,,,,,,,,,,,,,,,,,,,
nid7022,compute, ,x7000c0s31b0n0,x7000,31,,10.40.0.37,10.41.0.37,,128.55.134.112,10.45.0.37,,128.55.134.238,10.45.0.137,,,,,,,,,,,,,,,,,,,,,
nid7023,compute, ,x7000c0s32b0n0,x7000,32,,10.40.0.38,10.41.0.38,,128.55.134.113,10.45.0.38,,128.55.134.239,10.45.0.138,,,,,,,,,,,,,,,,,,,,,
nid7024,compute, ,x7000c0s33b0n0,x7000,33,,10.40.0.39,10.41.0.39,,128.55.134.114,10.45.0.39,,128.55.134.240,10.45.0.139,,,,,,,,,,,,,,,,,,,,,
