vlookup server,vlookup sw,Index,Facility,Card,Cable Length,Dell P/N,Cable Type,Cable Color,Server Transceiver,Switch Transceiver,Row,Rack,Node,Sled,Interface,Row,Rack,Switch,Port,Label,TSS Top,TSS Bottom,,,U Height,Device Position,Sled number,CMSH Switchport config commands - server hostname column must be populated,"CMSH rackview config commands - Server Hostname, U height and Device Position columns must be populated"
1IRC,1OU03,38,Franklin,MGMT,7FT,7FT-CAT6,CAT6,Blue,N/A,407-BBOS,B5,1,IRC,,MGMT,B5,1,OU03,38,"B5 R1 IRC MGMT
B5 R1 SW OU03 P38",B5 R1 IRC MGMT,B5 R1 SW OU03 P38,,,,,,,
,1OU03,39,,open,,,,,,,,,,,,B5,1,OU03,39,,,,,,,,,,
,1OU03,40,,open,,,,,,,,,,,,B5,1,OU03,40,,,,,,,,,,
,1OU03,41,,open,,,,,,,,,,,,B5,1,OU03,41,,,,,,,,,,
,1OU03,42,,open,,,,,,,,,,,,B5,1,OU03,42,,,,,,,,,,
,1OU03,43,,open,,,,,,,,,,,,B5,1,OU03,43,,,,,,,,,,
,1OU03,44,,open,,,,,,,,,,,,B5,1,OU03,44,,,,,,,,,,
,1OU03,45,,open,,,,,,,,,,,,B5,1,OU03,45,,,,,,,,,,
,1OU03,46,,open,,,,,,,,,,,,B5,1,OU03,46,,,,,,,,,,
,1OU03,47,,open,,,,,,,,,,,,B5,1,OU03,47,,,,,,,,,,
,1OU03,48,,open,,,,,,,,,,,,B5,1,OU03,48,,,,,,,,,,
,1OU03,49,,open,,,,,,,,,,,,B5,1,OU03,49-50 QSFP-DD,,,,,,,,,,
,1OU03,50,,open,,,,,,,,,,,,B5,1,OU03,49-50 QSFP-DD,,,,,,,,,,
,1OU03,51,,open,,,,,,,,,,,,B5,1,OU03,51-52 QSFP-DD,,,,,,,,,,
,1OU03,52,,open,,,,,,,,,,,,B5,1,OU03,51-52 QSFP-DD,,,,,,,,,,
,1OU03,53,,open,,,,,,,,,,,,B5,1,OU03,53 - QSFP28,,,,,,,,,,
,1OU03,54,,open,,,,,,,,,,,,B5,1,OU03,54 - QSFP28,,,,,,,,,,
in use - ISLin use - ISL,1OU03,55,,in use - ISL,in use - ISL,in use - ISL,in use - ISL,in use - ISL,in use - ISL,in use - ISL,in use - ISL,in use - ISL,in use - ISL,in use - ISL,in use - ISL,B5,1,OU03,55 - QSFP28,,,,,,,,,,
in use - ISLin use - ISL,1OU03,56,,in use - ISL,in use - ISL,in use - ISL,in use - ISL,in use - ISL,in use - ISL,in use - ISL,in use - ISL,in use - ISL,in use - ISL,in use - ISL,in use - ISL,B5,1,OU03,56 - QSFP28,,,,,,,,,,
2U13,2U22,57,TSS,MGMT,4FT,4FT-CAT6,CAT6,Blue,N/A,407-BBOS,B5,2,U13,-NODE1,MGMT,B5,2,U22,1,"B5 R2 U13 MGMT
B5 R2 SW U22 P1",B5 R2 U13 MGMT,B5 R2 SW U22 P1,,,,,,,
2U13,2U22,58,TSS,MGMT,4FT,4FT-CAT6,CAT6,Blue,N/A,407-BBOS,B5,2,U13,-NODE2,MGMT,B5,2,U22,2,"B5 R2 U13 MGMT
B5 R2 SW U22 P2",B5 R2 U13 MGMT,B5 R2 SW U22 P2,,,,,,,
2U13,2U22,59,TSS,MGMT,5FT,5FT-CAT6,CAT6,Blue,N/A,407-BBOS,B5,2,U13,-NODE3,MGMT,B5,2,U22,3,"B5 R2 U13 MGMT
B5 R2 SW U22 P3",B5 R2 U13 MGMT,B5 R2 SW U22 P3,,,,,,,
2U13,2U22,60,TSS,MGMT,5FT,5FT-CAT6,CAT6,Blue,N/A,407-BBOS,B5,2,U13,-NODE4,MGMT,B5,2,U22,4,"B5 R2 U13 MGMT
B5 R2 SW U22 P4",B5 R2 U13 MGMT,B5 R2 SW U22 P4,,,,,,,
2U20,2U22,61,TSS,MGMT,3FT,3FT-CAT6,CAT6,Blue,N/A,407-BBOS,B5,2,U20,-SPA,MGMT,B5,2,U22,5,"B5 R2 U20 MGMT
B5 R2 SW U22 P5",B5 R2 U20 MGMT,B5 R2 SW U22 P5,,,,,,,
2U20,2U22,62,TSS,MGMT,3FT,3FT-CAT6,CAT6,Blue,N/A,407-BBOS,B5,2,U20,-SPB,MGMT,B5,2,U22,6,"B5 R2 U20 MGMT
B5 R2 SW U22 P6",B5 R2 U20 MGMT,B5 R2 SW U22 P6,,,,,,,
2U20,2U22,63,TSS,iSCSI A0,1M,470-ACEX,SFP28 TwinAx,Black,N/A,N/A,B5,2,U20,-SPA,A0,B5,2,U22,7,"B5 R2 U20 iSCSI A0
B5 R2 SW U22 P7",B5 R2 U20 iSCSI A0,B5 R2 SW U22 P7,,,,,,,
